,Date,User,Tweet
102,2023-03-04 23:59:59+00:00,natesLilgirl5,"@Synthboi69 Yes, it’s nice to see you back in front of your camera. But, maybe ease up on the carbonated drinks while streaming…you’ve been a bit burpy. Although it is relatable…okay, so, maybe just turn away from your microphone when you need to burp. I am glad to see you back. Mr Burpy😁"
103,2023-03-04 23:59:59+00:00,jazzyphizz,@JennMUA I haven’t made a sale in months
104,2023-03-04 23:59:59+00:00,PresidentTomat1,@Edwin07011 At this point we need to take all the mentally challenge “Trans-whatsits” and put them in separate islands! Separate islands for both the actual males and another for the actual females so they can’t reproduce! Then we won’t have this problem anymore! 😂😂🖕😂😂😂😂
105,2023-03-04 23:59:59+00:00,chelsearose4_,"Was rooting for LOUD, but a huge congrats to FNATIC. That was the most insane match/comeback I've ever seen. The VCT Valorant champions league is such an amazing event. Literally the reason why I love Valorant. Well played by FNATIC &amp; GGs! The 9-3 curse is realll."
106,2023-03-04 23:59:59+00:00,_______795jm,@taeluvvyou morning
107,2023-03-04 23:59:59+00:00,naoiver,mother and father
108,2023-03-04 23:59:59+00:00,DikanaticDepok,"@danaaditya23 @Zarba2Tomasz @AarenIadarola @ahmad734943 @puddles_eth @Jampzer I've already invested in this an:d generated a decent gain, it's not a new concept for me.,_)"
109,2023-03-04 23:59:59+00:00,tweetytips1,"@nessblackmore Oh Mark Hubbard. I bet it was due to his Ukraine delusions. They missed him with Covid etc but got him with that.
Sad."
110,2023-03-04 23:59:59+00:00,firstgirldead,this is why i mostly just wear my afro bc 1.) cute as hell but also 2.) this is how my hair grows out of my head. cope
111,2023-03-04 23:59:59+00:00,sewmeyoongi,"@BTSpavedthewayh Watch w me *hands popcorn*
I got you butter popcorn too https://t.co/PwdzHGgqzc"
112,2023-03-04 23:59:59+00:00,imnotkkk_,do you have a girl?? i don't see a ring on your finger 😏😏
113,2023-03-04 23:59:59+00:00,CelticNotorious,@PBC174 @statsjamie @justhowthick Yep being sold to you as a win.
114,2023-03-04 23:59:59+00:00,DavidanGoliath,@DrDisrespect @FDSportsbook This is why Warzone 2 is trash. https://t.co/TYnwEN5A9J
115,2023-03-04 23:59:59+00:00,peachyfairy69_,@guacemoly Fa sho
116,2023-03-04 23:59:59+00:00,ChonsonB,"@concodanomics Nice

https://t.co/icOvU65Y9L"
117,2023-03-04 23:59:59+00:00,BaxleyRJR,Back to back wins over ranked teams. Big start to the season for Dan and the boys.
